UG01_Leituras.Gerador_EnergiaFornecidaMWh,UG01_750_852,4x,13385,,32-bit Float
UG01_Leituras.Gerador_EnergiaFornecidaGWh,UG01_750_852,4x,13387,,32-bit Float
UG01_Leituras.Gerador_EnergiaFornecidakVArh,UG01_750_852,4x,13389,,32-bit Float
UG01_Leituras.Gerador_EnergiaFornecidaMVArh,UG01_750_852,4x,13391,,32-bit Float
UG01_Leituras.Gerador_EnergiaFornecidaGVArh,UG01_750_852,4x,13393,,32-bit Float
UG01_Leituras.Gerador_EnergiaConsumidakWh,UG01_750_852,4x,13395,,32-bit Float
UG01_Leituras.Gerador_EnergiaConsumidaMWh,UG01_750_852,4x,13397,,32-bit Float
UG01_Leituras.Gerador_EnergiaConsumidaGWh,UG01_750_852,4x,13399,,32-bit Float
UG01_Leituras.Gerador_EnergiaConsumidakVArh,UG01_750_852,4x,13401,,32-bit Float
UG01_Leituras.Gerador_EnergiaConsumidaMVArh,UG01_750_852,4x,13403,,32-bit Float
UG01_Leituras.Gerador_EnergiaConsumidaGVArh,UG01_750_852,4x,13405,,32-bit Float
UG01_Leituras.UHLM_PressaoOleo,UG01_750_852,4x,13289,,Undesignated
UG01_Leituras.UHLM_VazaoOleo,UG01_750_852,4x,13290,,Undesignated
UG01_Leituras.Reserva_13291,UG01_750_852,4x,13291,,Undesignated
UG01_Leituras.Reserva_13292,UG01_750_852,4x,13292,,Undesignated
UG01_Leituras.Reserva_13293,UG01_750_852,4x,13293,,Undesignated
UG01_Leituras.Reserva_13294,UG01_750_852,4x,13294,,Undesignated
UG01_Leituras.UHRV_PressaoOleo,UG01_750_852,4x,13295,,Undesignated
UG01_Leituras.Reserva_13296,UG01_750_852,4x,13296,,Undesignated
UG01_Leituras.Reserva_13297,UG01_750_852,4x,13297,,Undesignated
UG01_Leituras.Reserva_13298,UG01_750_852,4x,13298,,Undesignated
UG01_Leituras.Reserva_13299,UG01_750_852,4x,13299,,Undesignated
UG01_Leituras.Reserva_13300,UG01_750_852,4x,13300,,Undesignated
UG01_Leituras.Turbina_Pressao_JusanteBorboleta,UG01_750_852,4x,13301,,Undesignated
UG01_Leituras.Turbina_Pressao_MontanteBorboleta,UG01_750_852,4x,13302,,Undesignated
UG01_Leituras.Turbina_PosicaoDistribuidor,UG01_750_852,4x,13303,,32-bit Float
UG01_Leituras.Turbina_PosicaoRotor,UG01_750_852,4x,13305,,32-bit Float
UG01_Leituras.Turbina_Velocidade,UG01_750_852,4x,13307,,Undesignated
UG01_Leituras.Turbina_Vazao,UG01_750_852,4x,13308,,Undesignated
UG01_Leituras.Turbina_Tempo_AberturaBorboleta,UG01_750_852,4x,13309,,Undesignated
UG01_Leituras.Turbina_Tempo_AberturaBorboleta_Minuto,UG01_750_852,4x,13311,,Undesignated
UG01_Leituras.Turbina_Tempo_FechamentoBorboleta,UG01_750_852,4x,13313,,Undesignated
UG01_Leituras.Turbina_Tempo_FechamentoBorboleta_Minuto,UG01_750_852,4x,13315,,Undesignated
UG01_Leituras.Turbina_Tempo_AberturaByPass,UG01_750_852,4x,13317,,Undesignated
UG01_Leituras.Turbina_Tempo_AberturaByPass_Minuto,UG01_750_852,4x,13319,,Undesignated
UG01_Leituras.Turbina_Tempo_FechamentoByPass,UG01_750_852,4x,13321,,Undesignated
UG01_Leituras.Turbina_Tempo_FechamentoByPass_Minuto,UG01_750_852,4x,13323,,Undesignated
