USINA_Status.TRIP_Drenagem_Bomba02,USINA_750_862,1x,16412,,Undesignated
USINA_Status.Drenagem_Nivel_01,USINA_750_862,1x,16413,,Undesignated
USINA_Status.Drenagem_Nivel_02,USINA_750_862,1x,16414,,Undesignated
USINA_Status.Drenagem_Nivel_03_Emergencia,USINA_750_862,1x,16415,,Undesignated
USINA_Status.DisjQ380_01_Fechado,USINA_750_862,1x,16604,,Undesignated
USINA_Status.DisjQ380_02_Fechado,USINA_750_862,1x,16605,,Undesignated
USINA_Status.DisjQ380_03_Fechado,USINA_750_862,1x,16606,,Undesignated
USINA_Status.DisjQ380_04_Fechado,USINA_750_862,1x,16607,,Undesignated
USINA_Status.DisjQ380_05_Fechado,USINA_750_862,1x,16608,,Undesignated
USINA_Status.DisjQ380_06_Fechado,USINA_750_862,1x,16609,,Undesignated
USINA_Status.DisjQ220_01_Fechado,USINA_750_862,1x,16610,,Undesignated
USINA_Status.DisjQ220_02_Fechado,USINA_750_862,1x,16611,,Undesignated
USINA_Status.DisjQ220_03_Fechado,USINA_750_862,1x,16612,,Undesignated
USINA_Status.DisjQ220_04_Fechado,USINA_750_862,1x,16613,,Undesignated
USINA_Status.DisjQ220_05_Fechado,USINA_750_862,1x,16614,,Undesignated
USINA_Status.DisjQ220_06_Fechado,USINA_750_862,1x,16615,,Undesignated
USINA_Status.DisjQ220_07_Fechado,USINA_750_862,1x,16616,,Undesignated
USINA_Status.DisjQ220_08_Fechado,USINA_750_862,1x,16617,,Undesignated
USINA_Status.DisjQ220_09_Fechado,USINA_750_862,1x,16618,,Undesignated
USINA_Status.DisjQ024_01_Fechado,USINA_750_862,1x,16619,,Undesignated
USINA_Status.DisjQ024_02_Fechado,USINA_750_862,1x,16620,,Undesignated
USINA_Status.DisjQ024_03_Fechado,USINA_750_862,1x,16621,,Undesignated
USINA_Status.DisjQ024_04_Fechado,USINA_750_862,1x,16622,,Undesignated
USINA_Status.DisjQ024_05_Fechado,USINA_750_862,1x,16623,,Undesignated
USINA_Status.DisjQ024_06_Fechado,USINA_750_862,1x,16624,,Undesignated
USINA_Status.DisjQ024_07_Fechado,USINA_750_862,1x,16625,,Undesignated
USINA_Status.DisjQ024_08_Fechado,USINA_750_862,1x,16626,,Undesignated
USINA_Status.DisjQBAT_Fechado,USINA_750_862,1x,16627,,Undesignated
USINA_Status.Status_Reset_DJK86R,USINA_750_862,1x,16628,,Undesignated
USINA_Status.DisjQCC_PSA_Fechado,USINA_750_862,1x,16629,,Undesignated
USINA_Leitura.NivelCamaraCarga,USINA_750_862,4x,13568,,Undesignated
USINA_Leitura.TemperaturaAmbiente,USINA_750_862,4x,13569,,Undesignated
USINA_Leitura.SAux_TensaoRN,USINA_750_862,4x,13570,,Undesignated
USINA_Leitura.SAux_TensaoSN,USINA_750_862,4x,13571,,32-bit Signed
USINA_Leitura.SAux_TensaoTN,USINA_750_862,4x,13572,,Undesignated
USINA_Leitura.SAux_TensaoRS,USINA_750_862,4x,13573,,Undesignated
USINA_Leitura.SAux_TensaoTR,USINA_750_862,4x,13575,,Undesignated
USINA_Leitura.SAux_TensaoMediaLinha,USINA_750_862,4x,13576,,Undesignated
USINA_Leitura.SAux_TensaoMediaFase,USINA_750_862,4x,13577,,Undesignated
USINA_Leitura.SAux_CorrenteFaseR,USINA_750_862,4x,13578,,Undesignated
USINA_Leitura.SAux_CorrenteFaseS,USINA_750_862,4x,13580,,Undesignated
USINA_Leitura.SAux_CorrenteMedia,USINA_750_862,4x,13581,,Undesignated
USINA_Leitura.SAux_PPFaseR,USINA_750_862,4x,13582,,Undesignated
USINA_Leitura.SAux_PPFaseS,USINA_750_862,4x,13583,,Undesignated
USINA_Leitura.SAux_PPFaseT,USINA_750_862,4x,13584,,Undesignated
USINA_Leitura.SAux_PPMedia,USINA_750_862,4x,13585,,Undesignated
USINA_Leitura.SAux_PSFaseR,USINA_750_862,4x,13586,,Undesignated
USINA_Leitura.SAux_PSFaseS,USINA_750_862,4x,13587,,Undesignated
USINA_Leitura.SAux_PSFaseT,USINA_750_862,4x,13588,,Undesignated
USINA_Leitura.SAux_PSMedia,USINA_750_862,4x,13589,,Undesignated
USINA_Leitura.SAux_PQFaseR,USINA_750_862,4x,13590,,Undesignated
USINA_Leitura.SAux_PQFaseS,USINA_750_862,4x,13591,,Undesignated
USINA_Leitura.SAux_PQFaseT,USINA_750_862,4x,13592,,Undesignated
USINA_Leitura.SAux_PQMedia,USINA_750_862,4x,13593,,Undesignated
USINA_Leitura.SAux_FPFaseR,USINA_750_862,4x,13594,,Undesignated
USINA_Leitura.SAux_FPFaseS,USINA_750_862,4x,13595,,Undesignated
USINA_Leitura.SAux_FPFaseT,USINA_750_862,4x,13596,,Undesignated
USINA_Leitura.SAux_Frequencia,USINA_750_862,4x,13598,,Undesignated
USINA_Leitura.REF615_I_INST_A,USINA_750_862,4x,13600,,Undesignated
USINA_Leitura.REF615_I_INST_B,USINA_750_862,4x,13601,,Undesignated
USINA_Leitura.REF615_I_INST_C,USINA_750_862,4x,13602,,Undesignated
USINA_Leitura.REF615_U_FaseAN,USINA_750_862,4x,13603,,Undesignated
USINA_Leitura.REF615_U_FaseBN,USINA_750_862,4x,13604,,Undesignated
USINA_Leitura.REF615_U_FaseCN,USINA_750_862,4x,13605,,Undesignated
USINA_Leitura.REF615_U_FaseAB,USINA_750_862,4x,13606,,16-bit Signed
USINA_Leitura.REF615_U_FaseBC,USINA_750_862,4x,13607,,Undesignated
USINA_Leitura.REF615_U_FaseCA,USINA_750_862,4x,13608,,Undesignated
USINA_Leitura.REF615_P_INST,USINA_750_862,4x,13609,,Undesignated
USINA_Leitura.REF615_Q_INST,USINA_750_862,4x,13610,,Undesignated
USINA_Leitura.REF615_S_INST,USINA_750_862,4x,13611,,Undesignated
USINA_Leitura.REF615_PF_INST,USINA_750_862,4x,13612,,Undesignated
USINA_Leitura.REF615_FHz_INST,USINA_750_862,4x,13613,,Undesignated
USINA_Leitura.Usina_EnergiaFornecidakWh,USINA_750_862,4x,13614,,16-bit Signed
